name,required_age,is_free,short_description,supported_languages,header_image,website,ratings,categories,genre1,genre2,genre3,genre4,genre5,genres6,genres7
deceit,18,True,"Test your instincts at trust and deception in an action-filled, multiplayer first-person shooter. You wake up in unknown surroundings to the sound of the Game Master’s unfamiliar voice, surrounded by five others. A third of your group have been infected with a virus, but who will escape?","English, Spanish - Spain, German, Russian, Simplified Chinese, Japanese, Korean, French, Italian, Hungarian, Polish, Portuguese - Portugal, Dutch, Portuguese - Brazil, Turkish, Romanians ",https://cdn.akamai.steamstatic.com/steam/apps/466240/header.jpg?t=1681810638,http://www.playdeceit.com/,8,Multiplayer,Action,Free to Play,Indie,,,,
deep night runner,15,False,"Deep night runner is a game for fans of the runner genre that will allow you to enjoy the gameplay endlessly! Run through the night plains, dodge ghosts and collect coins on your way","English, French, German, Italian, Spanish - Spain, Arabic, Bulgarian, Portuguese - Brazil, Hungarian, Vietnamese, Greek, Danish, Spanish - Latin America, Traditional Chinese, Simplified Chinese, Korean, Dutch, Norwegian, Polish, Portuguese - Portugal, Romanian, Russian, Thai, Turkish, Ukrainian, Finnish, Czech, Swedish, Japanese, Azerbaijani, Albanian, Amharic, Armenian, Assamese, Afrikaans, Basque, Belarusian, Bangla, Bosnian, Valencian, Welsh, Wolof, Galician, Georgian, Gujarati, Dari, Zulu, Hebrew, Igbo, Indonesian, Irish, Icelandic, Yoruba, Kazakh, Kannada, Catalan, Quechua, Kinyarwanda, K'iche', Konkani, Xhosa, Khmer, Kyrgyz, Latvian, Lithuanian, Luxembourgish, Macedonian, Malay, Malayalam, Maltese, Maori, Marathi, Mongolian, Nepali, Odia, Punjabi (Gurmukhi), Punjabi (Shahmukhi), Persian, Serbian, Sotho, Sinhala, Sindhi, Slovak, Slovenian, Sorani, Swahili, Tajik, Tamil, Tatar, Telugu, Tigrinya, Tswana, Turkmen, Uzbek, Uyghur, Urdu, Filipino, Hausa, Hindi, Croatian, Cherokee, Scots, Estonians ",https://cdn.akamai.steamstatic.com/steam/apps/1887990/header.jpg?t=1678006211,,6,Singleplayer,Indie,,,,,,
deep rock galactic,15,False,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.","English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Ukrainian, Italian, Japanese, Korean, Turkish, Spanish - Latin Americas ",https://cdn.akamai.steamstatic.com/steam/apps/548430/header_alt_assets_13.jpg?t=1687789310,http://deeprockgalactic.com,8,Multiplayer,Action,,,,,,
defiance,15,False,Join the futuristic online open-world shooter where thousands of players scour a transformed Earth competing for alien technology.,"English, French, German",https://cdn.akamai.steamstatic.com/steam/apps/224600/header.jpg?t=1619719240,http://www.trionworlds.com/defiance/en/?affiliateId=steamdefiance,4,Multiplayer,Action,Free to Play,Massively Multiplayer,RPG,,,
defy gravity extended,15,False,Defy Gravity is an action platformer that is a mix between classic platforming and gravity based puzzle solving.,English,https://cdn.akamai.steamstatic.com/steam/apps/96100/header.jpg?t=1562661240,,7,Singleplayer,Action,Casual,Indie,,,,
deponia the complete journey,18,False,"Junk, junk and even more junk. Life on the trash-planet Deponia is anything but a walk in the park. No surprise that Rufus had enough of that and hatches one ludicrous plan after the other to escape this bleak place.","English, French, German, Russian, Italian, Polishs ",https://cdn.akamai.steamstatic.com/steam/apps/292910/header.jpg?t=1687176581,http://www.deponia.de,8,Singleplayer,Adventure,,,,,,
depth,18,False,"Play as a shark or a diver in a dark aquatic world and overcome your enemies by employing cunning, teamwork, and stealth. Depth blends tension and visceral action as you team up against AI or be matched with other players in heart pounding combat.","English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Turkish, Japanese, Korean, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/274940/header.jpg?t=1618631987,https://www.depthgame.com,5,Multiplayer,Action,Indie,,,,,
destiny 2,18,True,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","English, French, German, Italian, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/1085660/header.jpg?t=1684966156,https://www.bungie.net/,8,Multiplayer,Action,Adventure,Free to Play,,,,
detroit become human,18,False,"Detroit: Become Human puts the destiny of both mankind and androids in your hands, taking you to a near future where machines have become more intelligent than humans. Every choice you make affects the outcome of the game, with one of the most intricately branching narratives ever created.","English, French, German, Italian, Spanish - Spain, Arabic, Czech, Danish, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Spanish - Latin America, Swedish, Turkish, Dutch, Russian, Traditional Chinese, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/1222140/header.jpg?t=1667468479,https://www.quanticdream.com/detroit-become-human,7,Singleplayer,Action,Adventure,,,,,
deus ex game of the year edition,10,False,"The year is 2052 and the world is a dangerous and chaotic place. Terrorists operate openly - killing thousands; drugs, disease and pollution kill even more. The world's economies are close to collapse and the gap between the insanely wealthy and the desperately poor grows ever wider.",English,https://cdn.akamai.steamstatic.com/steam/apps/6910/header.jpg?t=1686147245,,9,Multiplayer,Action,,,,,,
deus ex human revolution  director's cut,18,False,"You play Adam Jensen, an ex-SWAT specialist who's been handpicked to oversee the defensive needs of one of America's most experimental biotechnology firms. Your job is to safeguard company secrets, but when a black ops team breaks in and kills the very scientists you were hired to protect, everything you thought you knew about your job...","English, French, German, Italian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/238010/header.jpg?t=1681397569,,9,Singleplayer,Action,RPG,,,,,
deus ex invisible war,15,False,"Approximately 20 years after the events depicted in Deus Ex, The World is only beginning to recover from a Catastrophic worldwide depression. In the Chaotic period of recovery, several religious and political factions see an opportunity to re-shape a worldwide government to their agendas, understanding that the right moves now could...",English,https://cdn.akamai.steamstatic.com/steam/apps/6920/header.jpg?t=1681397520,,7,Singleplayer,Action,,,,,,
deus ex mankind divided,15,False,"Now an experienced covert operative, Adam Jensen is forced to operate in a world that has grown to despise his kind. Armed with a new arsenal of state-of-the-art weapons and augmentations, he must choose the right approach, along with who to trust, in order to unravel a vast worldwide conspiracy.","English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/337000/header.jpg?t=1675708510,,8,Singleplayer,Action,RPG,,,,,
devil may cry 4 special edition,10,False,"The smash-hit stylish action game DMC4 is back and better than ever, boasting new playable characters and game modes!","English, French, German, Italian, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/329050/header.jpg?t=1644282580,http://www.capcom.co.jp/devil4se/,8,Singleplayer,Action,,,,,,
devil may cry 5,15,False,"The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.","English, French, German, Italian, Spanish - Spain, Portuguese - Brazil, Polish, Russian, Simplified Chinese, Traditional Chinese, Japanese, Koreans ",https://cdn.akamai.steamstatic.com/steam/apps/601150/header.jpg?t=1675151951,http://www.capcom.co.jp/devil5/,9,Multiplayer,Action,,,,,,
devour,15,False,DEVOUR is a co-op horror survival game for 1-4 players. Stop possessed cultists before they drag you to hell. Run. Scream. Hide. Just don't get caught.,"English, French, German, Italian, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish - Latin America, Turkish, Thai, Portuguese - Portugal, Czech, Dutch, Finnish, Norwegian, Portuguese - Brazil, Romanian, Hungarian, Slovak, Ukrainians ",https://cdn.akamai.steamstatic.com/steam/apps/1274570/header.jpg?t=1683079484,http://www.devourgame.com,7,Multiplayer,Indie,,,,,,
dino dday,15,False,"Frantic, multiplayer action involving Nazis and dinosaurs! What are you waiting for? This is World War II as it should have been!",English,https://cdn.akamai.steamstatic.com/steam/apps/70000/header.jpg?t=1478380788,http://www.dinodday.com/,3,Multiplayer,Action,Indie,,,,,
dirt rally,15,False,"DiRT Rally is the most authentic and thrilling rally game ever made, road-tested over 80 million miles by the DiRT community. It perfectly captures that white knuckle feeling of racing on the edge as you hurtle along dangerous roads, knowing that one crash could irreparably harm your stage time.","English, French, German, Italian, Spanish - Spain, Portuguese - Brazil, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/310560/header.jpg?t=1667844327,http://www.dirtgame.com,8,Multiplayer,Racing,Simulation,Sports,,,,
dirt rally 2.0,10,False,"DiRT Rally 2.0 dares you to carve your way through a selection of iconic rally locations from across the globe, in the most powerful off-road vehicles ever made, knowing that the smallest mistake could end your stage.","English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Japaneses ",https://cdn.akamai.steamstatic.com/steam/apps/690790/header.jpg?t=1626343640,http://www.dirtrally2.com,8,Multiplayer,Racing,Simulation,Sports,,,,
dirty bomb ,10,True,Work together or die alone! Fight to restore peace to London or tear it down for profit in the most challenging team based shooter around.,"English, French, German, Portuguese - Brazil, Russian, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/333930/header.jpg?t=1591272761,http://www.dirtybomb.com/,4,Multiplayer,Action,Free to Play,,,,,
disco elysium  the final cut,18,False,"Disco Elysium - The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being.","English, Simplified Chinese, Spanish - Spain, Korean, Portuguese - Brazil, French, German, Traditional Chinese, Russian, Polish, Japanese, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/632470/header.jpg?t=1681291304,http://www.zaumstudio.com,10,Singleplayer,RPG,,,,,,
dishonored,10,False,"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal.","English, German, French, Italian, Spanish - Spains ",https://cdn.akamai.steamstatic.com/steam/apps/205100/header.jpg?t=1681845707,http://www.dishonored.com,9,Singleplayer,Action,Adventure,,,,,
dishonored 2,15,False,"Reprise your role as a supernatural assassin in Dishonored 2. Declared a “masterpiece” by Eurogamer and hailed “a must-play revenge tale” by Game Informer, Dishonored 2 is the follow up to Arkane’s 1st-person action blockbuster &amp; winner of 100+ 'Game of the Year' awards, Dishonored.","English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japaneses ",https://cdn.akamai.steamstatic.com/steam/apps/403640/header.jpg?t=1680275192,https://www.dishonored.com/,8,Singleplayer,Action,,,,,,
distraint deluxe edition,18,False,"DISTRAINT is a 2D psychological horror adventure game for PC. In order to secure a partnership in a famous company, Price seizes the property of an elderly woman. In that very moment, he finds out the price of his humanity.","English, Italian, German, French, Spanish - Spain, Russian, Portuguese - Brazil, Simplified Chinese, Polish, Turkish, Korean, Japanese",https://cdn.akamai.steamstatic.com/steam/apps/395170/header.jpg?t=1619611487,http://www.jessemakkonen.com,6,Singleplayer,Adventure,Casual,Indie,,,,
divide by sheep,10,False,"Divide By Sheep is a mind-bending math puzzler about friendship and slicing sheep in half with lasers. The Grim Reaper flooded the world, and it's up to you to save critters stranded on islands. Insane math skills required.",English,https://cdn.akamai.steamstatic.com/steam/apps/252130/header.jpg?t=1667304858,http://tinybuild.com/dividebysheep,8,Singleplayer,Adventure,Casual,Indie,,,,
divinity original sin  enhanced edition,15,False,"Gather your party and get ready for the kick-ass new version of GameSpot's PC Game of the Year 2014. With hours of new content, new game modes, full voiceovers, split-screen multiplayer, and thousands of improvements, there's never been a better time to explore the epic world of Rivellon!","English, French, German, Italian, Spanish - Spain, Russian, Polish, Czech, Simplified Chinese, Korean, Portuguese - Brazils ",https://cdn.akamai.steamstatic.com/steam/apps/373420/header.jpg?t=1665155407,http://www.divinityoriginalsin-enhanced.com/,10,Multiplayer,Adventure,Indie,RPG,Strategy,,,
divinity original sin 2  definitive edition,18,False,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.","English, French, German, Russian, Polish, Spanish - Spain, Simplified Chinese, Traditional Chinese, Italian, Korean, Czech, Portuguese - Brazil, Japaneses ",https://cdn.akamai.steamstatic.com/steam/apps/435150/header.jpg?t=1668591196,http://divinity.game,9,Multiplayer,Adventure,RPG,Strategy,,,,
divinity original sin classic,15,False,"Gather your party and get ready for a new, back-to-the-roots RPG adventure! Discuss your decisions with companions; fight foes in turn-based combat; explore an open world and interact with everything and everyone you see. Join up with a friend to play online in co-op and make your own adventures with the powerful RPG toolkit.","English, French, German, Russian, Polish, Italian, Czechs ",https://cdn.akamai.steamstatic.com/steam/apps/230230/header.jpg?t=1589968473,http://www.divinityoriginalsin.com/,8,Multiplayer,Adventure,Indie,RPG,Strategy,,,
dmc devil may cry,18,False,"In this retelling of Dante's origin story which is set against a contemporary backdrop, DmC Devil May Cry™ retains the stylish action.","English, German, French, Italian, Spanish - Spain, Dutch, Polish, Portuguese - Brazil, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/220440/header.jpg?t=1644283036,http://www.devilmaycry.com/index.php,8,Singleplayer,Action,Adventure,,,,,
doki doki literature club!,15,True,The Literature Club is full of cute girls! Will you write the way into their heart? This game is not suitable for children or those who are easily disturbed.,English,https://cdn.akamai.steamstatic.com/steam/apps/698780/header.jpg?t=1681943582,http://ddlc.moe,7,Singleplayer,Casual,Free to Play,Indie,,,,
don't starve,15,False,"Don’t Starve is an uncompromising wilderness survival game full of science and magic. Enter a strange and unexplored world full of strange creatures, dangers, and surprises. Gather resources to craft items and structures that match your survival style.","English, Simplified Chinese",https://cdn.akamai.steamstatic.com/steam/apps/219740/header.jpg?t=1675969205,http://www.dontstarvegame.com,7,Singleplayer,Adventure,Indie,Simulation,,,,
don't starve together,15,False,"Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve.","English, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/322330/header_alt_assets_1.jpg?t=1687986537,http://www.dontstarvegame.com,8,Multiplayer,Action,Adventure,Indie,RPG,Simulation,Strategy,
doom,18,False,"Now includes all three premium DLC packs (Unto the Evil, Hell Followed, and Bloodfall), maps, modes, and weapons, as well as all feature updates including Arcade Mode, Photo Mode, and the latest Update 6.66, which brings further multiplayer improvements as well as revamps multiplayer progression.","English, French, German, Italian, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/379720/header.jpg?t=1593395083,http://www.doom.com,8,Multiplayer,Action,,,,,,
doom 1993,15,False,"You’re a marine—one of Earth’s best—recently assigned to the Union Aerospace Corporation (UAC) research facility on Mars. When an experiment malfunctions and creates a portal to Hell, the base is overrun by blood-thirsty demons. You must shoot your way out to survive.","English, French, German, Italian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/2280/header.jpg?t=1663861909,,8,Multiplayer,Action,,,,,,
doom eternal,18,False,Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,"English, French, German, Italian, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Polish, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/782330/header.jpg?t=1661971606,https://slayersclub.bethesda.net/en,8,Multiplayer,Action,,,,,,
dota 2,10,True,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","Bulgarian, Czech, Danish, Dutch, English, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnameses ",https://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1682639497,http://www.dota2.com/,9,Multiplayer,Action,Free to Play,Strategy,,,,
dota underlords,15,True,"Hire a crew and destroy your rivals in this new strategy battler set in the world of Dota. Introducing Season One: Explore White Spire and earn rewards on the Battle Pass. Pick from several different game modes, play on your own or with friends, and take advantage of crossplay on PC and mobile.","English, French, German, Italian, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",https://cdn.akamai.steamstatic.com/steam/apps/1046930/header.jpg?t=1649700104,http://underlords.com/,8,Multiplayer,Casual,Free to Play,Strategy,,,,
double action boogaloo,18,True,"Double Action is a free stylish multiplayer game about diving, flipping, and sliding your way into action movie mayhem.","English, Russian, Spanish - Spain, Korean, Simplified Chinese, Spanish - Latin America",https://cdn.akamai.steamstatic.com/steam/apps/317360/header.jpg?t=1635342503,http://doubleactiongame.com/,8,Multiplayer,Action,Free to Play,Indie,,,,
dragon age origins  ultimate edition,10,False,"Dragon Age: Origins - Ultimate Edition includes Dragon Age: Origins, Dragon Age: Origins - Awakening and all nine content packs.","English, Italian, Spanish - Spain, German",https://cdn.akamai.steamstatic.com/steam/apps/47810/header.jpg?t=1615244558,http://dragonage.bioware.com/dao/,9,Singleplayer,RPG,,,,,,
dragon ball fighterz,18,False,DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its all-powerful fighters.,"English, French, German, Italian, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin Americas ",https://cdn.akamai.steamstatic.com/steam/apps/678950/header.jpg?t=1687902534,https://www.bandainamcoent.com/,8,Multiplayer,Action,,,,,,
dragon ball xenoverse,10,False,"DRAGON BALL XENOVERSE revisits famous battles from the series through your custom Avatar and other classic characters. New features include the mysterious Toki Toki City, new gameplay mechanics, new animations and many other amazing features!","English, French, German, Italian, Spanish - Spain, Polish, Russian, Portuguese - Brazils ",https://cdn.akamai.steamstatic.com/steam/apps/323470/header.jpg?t=1650406925,http://www.dragonballxenoverse.com,7,Multiplayer,Action,,,,,,
dragon ball xenoverse 2,18,False,DRAGON BALL XENOVERSE 2 builds upon the highly popular DRAGON BALL XENOVERSE with enhanced graphics that will further immerse players into the largest and most detailed Dragon Ball world ever developed.,"English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Korean, Simplified Chinese, Spanish - Latin Americas ",https://cdn.akamai.steamstatic.com/steam/apps/454650/header.jpg?t=1689104770,http://www.dragonballxenoverse2.com/,7,Multiplayer,Action,Adventure,Casual,Massively Multiplayer,,,
dragon ball z kakarot,18,False,"Relive the story of Goku and other Z Fighters in DRAGON BALL Z: KAKAROT! Beyond the epic battles, experience life in the DRAGON BALL Z world as you fight, fish, eat, and train with Goku, Gohan, Vegeta and others.","English, French, German, Italian, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Thais ",https://cdn.akamai.steamstatic.com/steam/apps/851850/header.jpg?t=1674590851,https://www.bandainamcoent.com/games/dragon-ball-z-kakarot,6,Multiplayer,Action,RPG,,,,,
dragon's dogma dark arisen,15,False,"Set in a huge open world, Dragon’s Dogma: Dark Arisen presents a rewarding action combat experience.","English, French, German, Italian, Spanish - Spain, Japanese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/367500/header.jpg?t=1688949959,,7,Singleplayer,Action,Adventure,RPG,,,,
dragons and titans,18,False,"Dragons and Titans is a fast paced MOBA with classic RPG elements. Select from over 30 unique dragons and 30 legendary weapons. Upgrade dragons and forge weapons to unlock more power. Free your Titan in 5v5 PvP battles across 3 different map types or play in ‘Adventure Mode’, traveling across different regions and unlocking rewards.","English, German, Spanish - Spain, Polish, Russian, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/263500/header.jpg?t=1667946033,http://www.dragonsandtitans.com,1,Multiplayer,Action,Adventure,Free to Play,Indie,RPG,,
draw & guess,15,False,Draw &amp; Guess is a casual drawing game for up to 16 players. Pick a word and draw away or try to guess your fellow players’ submissions. Multiple game modes and settings available to spice things up!,"English, German, French, Simplified Chinese, Japanese, Spanish - Spain, Korean, Russian, Italian, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/1483870/header.jpg?t=1688462457,https://drawandguess.com,7,Multiplayer,Casual,Indie,,,,,
duck game,15,False,"Enter the futuristic year of 1984, an age where ducks run wild in a frantic battle for glory. Blast your friends with Shotguns, Net Guns, Mind Control Rays, Saxophones, Magnet Guns, and much, much more. This is DUCK GAME. Don't blink.",English,https://cdn.akamai.steamstatic.com/steam/apps/312530/header.jpg?t=1606522299,http://games.adultswim.com/,8,Multiplayer,Action,Indie,,,,,
dungeon defenders,18,False,Create a hero from one of four classes to save Etheria in this 4-player coop Tower Defense Action-RPG. Includes Steam exclusive Portal gun &amp; TF2 familiars!,"English, French, German, Italian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/65800/header.jpg?t=1688068226,https://dungeondefenders.com/,7,Multiplayer,Action,Indie,RPG,Strategy,,,
dungeons & dragons online ,10,True,Enter a world of danger and adventure with Dungeons &amp; Dragons Online® based on the beloved RPG that started it all.,"English, German, Frenchs ",https://cdn.akamai.steamstatic.com/steam/apps/206480/header.jpg?t=1679941154,https://signup.ddo.com/ddo.php?ftui=DDOSteam&amp;abrs=1,6,Multiplayer,Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
dungeons 2,18,False,"The Dungeon Lord is back – and this time he’s serious! In Dungeons 2, fulfil the Dungeon Lord’s insatiable quest for vengeance by recruiting fearsome new monsters from all corners of the underworld in order to undertake his evil bidding.","English, German, French, Italian, Spanish - Spain, Russian, Polish, Czech, Simplified Chinese, Japaneses ",https://cdn.akamai.steamstatic.com/steam/apps/262280/header.jpg?t=1673919837,http://www.dungeons-game.com/,6,Multiplayer,RPG,Simulation,Strategy,,,,
dusk,10,False,"Battle through an onslaught of mystical backwater cultists, possessed militants &amp; even darker forces as you attempt to discover just what lurks beneath the Earth in this retro FPS inspired by the '90s legends.","English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainians ",https://cdn.akamai.steamstatic.com/steam/apps/519860/header.jpg?t=1639193039,http://www.NewBlood.games,8,Multiplayer,Action,Indie,,,,,
dying light,18,False,"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.","English, French, German, Italian, Spanish - Spain, Dutch, Polish, Portuguese - Brazil, Russian, Korean, Simplified Chinese, Spanish - Latin America, Japanese, Thai, Traditional Chinese, Turkish, Czechs ",https://cdn.akamai.steamstatic.com/steam/apps/239140/header.jpg?t=1674129492,https://dyinglightgame.com/?utm_source=Steam&amp;utm_medium=Link&amp;utm_campaign=Dying_Light,8,Multiplayer,Action,RPG,,,,,
dying light 2 stay human,15,False,"Humanity is fighting a losing battle against the virus. Experience a post-apocalyptic open world overrun by hordes of zombies, where your parkour and combat skills are key to survival. Traverse the City freely during the day, but watch the monsters take over during the night.","English, French, German, Italian, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Arabic, Czech, Japanese, Portuguese - Portugal, Simplified Chinese, Traditional Chinese, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/534380/header_alt_assets_21.jpg?t=1690383938,http://dyinglightgame.com/?utm_source=Steam&amp;utm_medium=Link&amp;utm_campaign=Dying_Light_2,8,Multiplayer,Action,Adventure,RPG,,,,
dynasty warriors 8 xtreme legends complete edition,15,False,&quot;Dynasty Warriors 8: Xtreme Legends&quot; introduces entirely new levels of fun to the refreshing gameplay vanquishing swarms of enemies with mighty warriors found in &quot;Dynasty Warriors 8.&quot;,"English, French, German, Japanese, Simplified Chinese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/278080/header.jpg?t=1687156186,http://www.dynastywarriors8.eu/xl/uk/#home,6,Multiplayer,Action,,,,,,
dyson sphere program,15,False,"Build the most efficient intergalactic factory in space simulation strategy game Dyson Sphere Program! Harness the power of stars, collect resources, plan and design production lines and develop your interstellar factory from a small space workshop to a galaxy-wide industrial empire.","Simplified Chinese, English",https://cdn.akamai.steamstatic.com/steam/apps/1366540/header.jpg?t=1679453191,,8,Singleplayer,Indie,Simulation,Strategy,Early Access,,,
ea sports  fifa 21,15,False,"Football is back with EA SPORTS™ FIFA 21, featuring more ways to team up on the street or in the stadium to enjoy even bigger victories with friends.","English, French, Italian, German, Arabic, Czech, Danish, Japanese, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Dutch, Koreans ",https://cdn.akamai.steamstatic.com/steam/apps/1313860/header.jpg?t=1678115726,https://www.ea.com/games/fifa,7,Multiplayer,Simulation,Sports,,,,,
ea sports  fifa 23,15,False,"FIFA 23 brings The World’s Game to the pitch, with HyperMotion2 Technology, men’s and women’s FIFA World Cup™, women’s club teams, cross-play features**, and more.","English, French, German, Italian, Spanish - Spain, Arabic, Czech, Danish, Dutch, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/1811260/header.jpg?t=1689341483,https://www.ea.com/games/fifa,5,Multiplayer,Simulation,Sports,,,,,
eador. masters of the broken world,15,False,"Eador is a universe made of countless shards of land drifting in the Great Nothing. Each of the shards is a little world unto itself, with geography and denizens of its own. The power over the shards is bitterly contested by Masters, the immortal beings mortals believe to be gods.","English, Russian, German, Polish, Spanish - Spain, Italian, French",https://cdn.akamai.steamstatic.com/steam/apps/232050/header.jpg?t=1571149287,http://www.snowbirdgames.com/eador/?lang=en,6,Multiplayer,Indie,RPG,Strategy,,,,
efootball  pes 2020,15,False,Experience unparalleled realism and authenticity in this year's definitive football game: PES 2020.,"English, French, German, Italian, Spanish - Spain, Dutch, Greek, Turkish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Koreans ",https://cdn.akamai.steamstatic.com/steam/apps/996470/header.jpg?t=1606348937,https://www.konami.com/wepes/2020,3,Multiplayer,Sports,,,,,,
efootball pes 2021 season update,15,False,Celebrate 25 years of PES with the eFootball PES 2021 Season Update* - available at a special anniversary price!,"English, French, German, Italian, Spanish - Spain, Dutch, Greek, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/1259970/header.jpg?t=1639008061,https://www.konami.com/wepes/2021,3,Multiplayer,Sports,,,,,,
elden ring,15,False,"THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","English, French, German, Italian, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/1245620/header.jpg?t=1683618443,,10,Multiplayer,Action,RPG,,,,,
